Time,Year,Quarter,Trade_Value
2006-02-01,2006,Q1,0.88657873
2006-05-01,2006,Q2,0.61272788
2006-08-01,2006,Q3,0.44648807
2006-11-01,2006,Q4,0.69551832
2007-02-01,2007,Q1,1.08111126
2007-05-01,2007,Q2,1.46406296
2007-08-01,2007,Q3,1.16138563
2007-11-01,2007,Q4,0.93116453
2008-02-01,2008,Q1,1.53230543
2008-05-01,2008,Q2,1.49799232
2008-08-01,2008,Q3,1.24143089
2008-11-01,2008,Q4,1.43789503
2009-02-01,2009,Q1,1.97880503
2009-05-01,2009,Q2,1.85879301
2009-08-01,2009,Q3,1.30797042
2009-11-01,2009,Q4,1.20480639
2010-02-01,2010,Q1,1.50271776
2010-05-01,2010,Q2,1.41148972
2010-08-01,2010,Q3,0.96129853
2010-11-01,2010,Q4,1.49645999
2011-02-01,2011,Q1,2.55081539
2011-05-01,2011,Q2,2.39986318
2011-08-01,2011,Q3,1.69256333
2011-11-01,2011,Q4,2.1697433
2012-02-01,2012,Q1,2.56575913
2012-05-01,2012,Q2,2.38031807
2012-08-01,2012,Q3,1.72030363
2012-11-01,2012,Q4,2.6733792
2013-02-01,2013,Q1,3.06601554
2013-05-01,2013,Q2,3.0990483
2013-08-01,2013,Q3,2.29353668
2013-11-01,2013,Q4,3.50539185
2014-02-01,2014,Q1,3.95140986
2014-05-01,2014,Q2,3.60619849
2014-08-01,2014,Q3,3.37996722
2014-11-01,2014,Q4,4.21357503
2015-02-01,2015,Q1,4.88412915
2015-05-01,2015,Q2,4.2069951
2015-08-01,2015,Q3,4.23351591
2015-11-01,2015,Q4,4.44963972
2016-02-01,2016,Q1,4.50992555
2016-05-01,2016,Q2,4.39448397
2016-08-01,2016,Q3,6.54128857
2016-11-01,2016,Q4,6.36481328
2017-02-01,2017,Q1,6.83961812
2017-05-01,2017,Q2,6.46948793
2017-08-01,2017,Q3,7.89020517
2017-11-01,2017,Q4,7.08858366
2018-02-01,2018,Q1,7.13752954
2018-05-01,2018,Q2,6.46469653
2018-08-01,2018,Q3,6.21878453
2018-11-01,2018,Q4,5.98696074
2019-02-01,2019,Q1,6.70597774
2019-05-01,2019,Q2,8.96719111
2019-08-01,2019,Q3,7.30614543
2019-11-01,2019,Q4,7.68384869
2020-02-01,2020,Q1,9.19872285
2020-05-01,2020,Q2,6.56000339
2020-08-01,2020,Q3,5.71294392
2020-11-01,2020,Q4,6.50283253
2021-02-01,2021,Q1,8.28606913
2021-05-01,2021,Q2,7.12402863
2021-08-01,2021,Q3,6.84050666
2022-02-01,2022,Q1,6.80786527
2022-05-01,2022,Q2,8.08553946
2022-08-01,2022,Q3,10.07760148
2022-11-01,2022,Q4,8.44381818
2023-02-01,2023,Q1,8.4954942
2023-05-01,2023,Q2,8.16338306
2023-08-01,2023,Q3,6.09843466
2023-11-01,2023,Q4,8.79514228
